"unique_id","gender","age","home_pc","education","work_status","living_children","age_group","driving_license","car_household_bin","car_access","sl_card","cycle_confidence","peer_commute","peer_commute_bin","commute_lenght_bin","bike_frequency_bin","q10_easy","q11_live_life_as_want","q12_able_to_do_activities","q13_satisfactory_access","lat","lon"
1819,1,43,11264,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,1,1,4,4,4,4,59.3226326,18.0069155
1805,0,38,12152,1,"Employed",1,"30_59",0,1,"Other access",0,"In areas with low traffic, without separated bike lane",1,1,0,1,4,4,4,4,59.2939681,18.115711
1791,1,38,17238,0,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,0,1,4,4,4,4,59.3571741,17.9701651
1785,1,45,11734,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",0,0,0,1,4,5,5,5,59.3158653,18.0343213
1779,1,36,12150,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",4,1,0,1,5,5,4,5,59.2956668,18.11203
1752,1,55,12654,0,"Employed",1,"30_59",1,1,"Other access",0,"In areas with low traffic, without separated bike lane",1,1,0,1,4,4,2,4,59.3068606,17.9866275
1750,1,34,16232,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,0,1,4,4,4,4,59.3057932,17.9976383
1740,1,28,11629,1,"Employed",0,"0_29",0,0,"No",0,"In areas with low traffic, without separated bike lane",2,1,0,1,4,4,2,5,59.3149,18.08462
1736,1,47,17063,1,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,4,4,4,59.3812708,18.0080734
1727,0,32,11766,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.3160232,18.0136192
1726,1,26,18250,1,"Student",0,"0_29",1,0,"No",0,"In areas with low traffic, without separated bike lane",3,1,0,1,5,5,5,5,59.3979951,18.0245611
1718,0,26,11230,1,"Employed",0,"0_29",0,0,"No",0,"In areas with high traffic, without separated bike lane",2,1,1,1,3,3,3,3,59.3304907,18.0364268
1716,1,52,14130,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,0,1,4,4,3,3,59.2484001,17.9703108
1696,0,38,13132,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",1,1,0,1,5,5,5,5,59.3108546,18.114511
1694,0,27,11646,1,"Employed",0,"0_29",1,0,"No",0,"In areas with low traffic, without separated bike lane",2,1,0,1,4,5,5,2,59.3178476,18.0724147
1692,0,33,12574,1,"Employed",0,"30_59",1,0,"Other access",0,"In areas with low traffic, without separated bike lane",2,1,0,1,2,3,3,3,59.2835933,18.0399931
1678,1,40,13246,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,1,1,2,4,3,3,59.3041558,18.2684785
1640,0,35,11327,1,"Employed",0,"30_59",1,0,"No",0,"In areas with low traffic, without separated bike lane",1,1,0,1,5,5,2,2,59.3432829,18.0486419
1606,1,53,12152,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,0,1,5,5,5,5,59.2939681,18.115711
1600,1,50,11254,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",4,1,0,1,4,5,4,5,59.3311677,17.9969896
1596,1,56,19270,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",0,0,0,1,4,5,4,5,59.4529887,17.9198626
1583,0,27,11260,1,"Student",0,"0_29",0,0,"No",1,"In areas with low traffic, without separated bike lane",0,0,0,0,1,1,1,1,59.32638,18.01822
1578,0,21,16838,0,"Student",0,"0_29",1,0,"No",0,"In areas with high traffic, without separated bike lane",0,0,1,1,4,4,4,4,59.3407105,17.9262742
1525,0,26,11266,1,"Employed",0,"0_29",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,0,1,4,5,4,4,59.3208232,17.9852404
1505,1,47,12863,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",4,1,0,1,5,5,4,4,59.2589169,18.1267314
1493,0,57,12638,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with low traffic, without separated bike lane",1,1,1,1,4,4,4,4,59.2940274,17.9926309
1485,0,33,12057,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,4,4,5,59.2972209,18.0430012
1481,0,50,11215,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,4,4,4,59.3388778,18.0032669
1457,1,43,16343,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,5,2,2,59.3759603,17.9169079
1453,1,32,12148,1,"Employed",1,"30_59",0,0,"No",0,"In areas with high traffic, without separated bike lane",4,1,1,1,5,5,5,5,59.2933682,18.1012412
1438,1,51,12635,0,"Employed",0,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,1,1,3,4,2,2,59.3001854,18.0086922
1436,1,38,19134,1,"Employed",1,"30_59",1,1,"Own",1,"In areas with low traffic, without separated bike lane",2,1,1,0,4,4,3,4,59.4239219,17.9431161
1434,1,58,11129,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.3241927,18.0709267
1426,1,25,11417,1,"Student",0,"0_29",0,0,"No",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,4,4,59.3697011,18.0634601
1421,1,19,11419,0,"Student",0,"0_29",1,0,"No",0,"In areas with low traffic, without separated bike lane",1,1,0,1,4,3,3,3,59.3564052,18.0572821
1411,1,31,11663,1,"Employed",0,"30_59",1,0,"No",0,"On separated bike paths",3,1,0,1,4,4,4,4,59.3088038,18.0776127
1403,1,43,18356,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,1,1,2,5,4,4,59.42434,18.06876
1390,1,41,11859,1,"Employed",1,"30_59",1,0,"No",0,"In areas with low traffic, without separated bike lane",3,1,0,1,5,5,5,5,59.30627,18.06832
1389,1,41,11666,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,4,5,59.30789,18.08551
1386,1,56,12949,0,"Employed",1,"30_59",1,1,"Own",0,"On separated bike paths",3,1,1,1,5,4,4,4,59.2906678,17.9769973
1383,1,31,17458,1,"Employed",0,"30_59",1,0,"No",0,"In areas with low traffic, without separated bike lane",4,1,1,1,4,4,4,4,59.3733913,17.9381976
1381,1,29,13145,1,"Employed",0,"0_29",1,1,"Own",0,"In areas with high traffic, without separated bike lane",5,1,0,1,5,5,4,5,59.3150508,18.1969328
1374,0,45,12679,1,"Unemployed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,0,0,2,2,2,2,59.2903298,18.0024552
1368,0,51,18273,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,5,4,59.3920937,18.0517219
1358,0,31,12934,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,4,4,59.3025468,17.9878189
1347,1,43,17441,0,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",0,0,0,1,4,5,4,4,59.3837853,17.975324
1337,0,48,16568,0,"Employed",1,"30_59",0,0,"No",0,"In areas with low traffic, without separated bike lane",1,1,1,1,5,5,5,5,NA,NA
1318,1,38,11741,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,1,1,5,5,4,4,59.3148632,18.04416
1316,1,49,13439,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",0,0,1,0,2,3,2,4,59.3121424,18.3941819
1282,1,36,13144,1,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,1,1,2,2,1,2,59.311014,18.2129491
1281,0,43,13246,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with low traffic, without separated bike lane",2,1,1,1,4,4,4,4,59.3041558,18.2684785
1277,1,47,17166,0,"Employed",1,"30_59",1,1,"Other access",1,"In areas with high traffic, without separated bike lane",3,1,0,1,4,4,4,4,59.3566648,17.9860173
1265,1,50,11323,1,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",3,1,0,1,5,5,3,5,59.3459619,18.0443306
1263,0,64,11252,1,"Employed",1,"60a",0,1,"Other access",1,"In areas with high traffic, without separated bike lane",3,1,0,1,4,5,4,4,59.3331617,18.0022756
1249,NA,45,11759,0,"Employed",1,"30_59",1,0,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,1,1,5,5,5,5,59.3062827,18.0273651
1242,1,49,11263,0,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",1,1,0,1,4,5,4,4,59.32416,18.00542
1240,1,39,12145,1,"Employed",1,"30_59",1,0,"No",0,"In areas with low traffic, without separated bike lane",1,1,0,1,4,4,2,2,59.298515,18.0924906
1236,0,43,16843,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",1,1,1,0,5,5,5,5,59.34392,17.8812
1216,1,34,11636,1,"Employed",0,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",4,1,0,1,4,4,4,4,59.3148705,18.0901458
1188,1,36,18761,1,"Employed",1,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",4,1,1,1,4,4,4,4,59.47418,18.1249
1185,0,43,13839,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",2,1,1,1,5,5,5,5,59.2521797,18.1924918
1183,1,39,14137,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",1,1,1,1,4,2,2,3,59.2445496,18.0263513
1175,0,37,17155,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with low traffic, without separated bike lane",2,1,0,1,4,4,4,4,59.3536219,17.9828025
1174,1,40,18273,1,"Employed",1,"30_59",1,1,"Own",0,"In areas with high traffic, without separated bike lane",2,1,0,1,5,5,5,5,59.3920937,18.0517219
1162,0,41,17464,1,"Employed",0,"30_59",1,0,"No",0,"In areas with high traffic, without separated bike lane",4,1,0,1,5,5,4,5,59.3831152,17.9470618
1159,1,53,13160,1,"Employed",1,"30_59",1,1,"Other access",0,"In areas with high traffic, without separated bike lane",3,1,1,1,4,5,5,5,59.3049234,18.1492818
1158,1,24,11364,1,"Student",0,"0_29",1,0,"Other access",0,"In areas with low traffic, without separated bike lane",3,1,0,1,4,5,5,4,59.3457716,18.0336478
